"service_id","date","exception_type"
1,20171003,2
2,20171003,2
3,20171003,1
5,20171003,1
7,20171003,2
7,20171031,2
8,20170925,1
8,20171002,1
8,20171016,1
8,20171023,1
8,20170926,1
8,20171017,1
8,20171024,1
8,20170927,1
8,20171004,1
8,20171018,1
8,20171025,1
8,20170928,1
8,20171005,1
8,20171019,1
8,20171026,1
8,20170929,1
8,20171006,1
8,20171020,1
8,20171027,1
9,20170925,2
9,20171002,2
9,20171016,2
9,20171023,2
9,20170926,2
9,20171003,2
9,20171017,2
9,20171024,2
9,20171031,2
9,20170927,2
9,20171004,2
9,20171018,2
9,20171025,2
9,20170928,2
9,20171005,2
9,20171019,2
9,20171026,2
9,20170929,2
9,20171006,2
9,20171020,2
9,20171027,2
10,20171003,1
10,20171031,1
11,20171003,2
11,20171031,2
12,20171003,1
12,20171031,1
12,20171001,2
13,20171001,1
15,20171020,2
15,20171117,2
16,20171020,1
16,20171117,1
17,20171003,1
17,20171031,1
18,20171003,2
18,20171031,2
18,20171020,2
18,20171117,2
20,20171003,1
20,20171031,1
20,20170910,2
21,20170910,1
22,20171003,2
22,20171031,2
22,20170909,2
23,20170909,1
24,20170909,2
25,20171002,2
25,20171030,2
25,20171003,2
25,20171031,2
26,20171020,2
26,20171117,2
27,20170909,2
27,20170910,2
28,20170910,2
29,20170909,2
30,20171003,2
30,20171031,2
30,20170909,2
30,20170910,2
31,20170909,1
31,20170910,1
33,20170925,1
33,20170923,1
33,20170924,1
34,20170923,1
34,20170924,1
35,20170923,1
36,20170922,1
36,20170923,1
36,20170924,1
37,20171006,1
38,20171002,1
38,20171009,1
38,20171004,1
38,20171014,1
39,20171014,1
40,20171010,1
40,20171004,1
40,20171011,1
40,20171012,1
40,20171013,1
41,20171014,1
41,20171008,1
42,20171003,1
43,20171007,1
44,20170914,1
45,20171008,1
46,20170911,1
46,20170918,1
46,20170912,1
46,20170919,1
46,20170913,1
46,20170920,1
46,20170907,1
46,20170914,1
46,20170921,1
46,20170908,1
46,20170915,1
46,20170916,1
46,20170917,1
47,20170908,1
48,20170922,1
49,20170911,1
51,20171016,1
51,20171023,1
51,20171030,1
51,20171010,1
51,20171017,1
51,20171024,1
51,20171011,1
51,20171018,1
51,20171025,1
51,20171012,1
51,20171026,1
51,20171013,1
51,20171027,1
51,20171014,1
51,20171021,1
51,20171028,1
51,20171015,1
51,20171022,1
51,20171029,1
52,20171009,1
52,20171016,1
52,20171010,1
52,20171017,1
52,20171011,1
52,20171018,1
52,20171012,1
